,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,demande,request
7,genre,kind
8,mois,month
9,frère,brother
10,laisser,let
11,car,because
12,mettre,to put
13,aucun,no
14,eux,them
15,ville,city
16,chaque,each
17,parlé,speak
18,devrait,should
19,heures,hours
20,vont,will
21,revoir,meet again
22,aucune,any
23,parle,speak
24,compris,understood
25,savais,knew
26,étaient,were
27,attention,Warning
28,voici,here is
29,pourrais,could
30,affaire,case
31,donner,give
32,type,type
33,leurs,their
34,donné,given
35,train,train
36,corps,body
37,endroit,place
38,façon,way
39,écoute,listen
40,dont,whose
41,perdu,lost
42,main,hand
43,première,first
44,côté,side
45,sois,be
46,tiens,here
47,matin,morning
48,tellement,so much
49,enfant,child
50,point,point
51,venu,came
52,pardon,sorry
53,venez,come
54,devant,in front of
55,vers,towards
56,demandé,request
57,chambre,bedroom
58,belle,beautiful
59,droit,law
60,aimerais,would like to
61,mari,husband
62,cause,cause
63,enfin,finally
64,espère,hope
65,attendez,Wait
66,parti,left
67,nouvelle,new
68,boulot,job
69,dirait,would say
70,terre,Earth
71,compte,account
72,donne,given
73,loin,far
74,fin,end
75,croire,believe
76,chérie,sweetheart
77,gros,large
78,plutôt,rather
79,aura,will have
80,filles,girls
